Categoria,Producto,Precio,URL de la imagen,fecha_hora
frutas-y-verduras,Tomate Cherry Por Kg,$7.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Pimiento Rojo Por Kg,$6.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
Lacteos,Leche La Serenisima Zerolact Bot 1l,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/797316-500-auto?v=638332509824430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Liviana Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797315-500-auto?v=638332509819430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Manteca Ls Bienestar Animal 200 G,"$2.680,89",https://jumboargentinaio.vtexassets.com/arquivos/ids/793456-500-auto?v=638303241666030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenisima 1 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785290-500-auto?v=638223762282570000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Entera Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797314-500-auto?v=638332509815370000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat Serenisima 3 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785291-500-auto?v=638223762290430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenísima Proteina 1lt,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/637500-500-auto?v=637540537556030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Dulce De Leche La Serenisima Clasico 400g,"$2.226,44",https://jumboargentinaio.vtexassets.com/arquivos/ids/787501-500-auto?v=638242545910500000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
