Supermercado;Categoria;Producto;Precio;URL;Fecha
JUM;bebidas;Coca-cola Zero 2,25 Lt;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/799920-500-auto?v=638349573899270000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
JUM;bebidas;Agua Sin Gas Villavicencio 2 L;$1.350;https://jumboargentinaio.vtexassets.com/arquivos/ids/798470-500-auto?v=638340185331300000&width=500&height=auto&aspect=true;12/05/2024, 23:27:15
JUM;bebidas;Agua Sin Gas Villavicencio 2 L;$877,5;https://jumboargentinaio.vtexassets.com/arquivos/ids/798470-500-auto?v=638340185331300000&width=500&height=auto&aspect=true;12/05/2024, 23:27:23
JUM;bebidas;Agua Sin Gas Villavicencio 2 L;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/798470-500-auto?v=638340185331300000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
JUM;bebidas;Agua Villa Del Sur Sin Gas 6.2lt;$3.100;https://jumboargentinaio.vtexassets.com/arquivos/ids/786406-500-auto?v=638234014445730000&width=500&height=auto&aspect=true;12/05/2024, 23:27:15
JUM;bebidas;Agua Villa Del Sur Sin Gas 6.2lt;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/786406-500-auto?v=638234014445730000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
JUM;bebidas;Gaseosa Coca-cola Sabor Original 2.25 L;$3.100;https://jumboargentinaio.vtexassets.com/arquivos/ids/783070-500-auto?v=638206690815300000&width=500&height=auto&aspect=true;12/05/2024, 23:27:15
JUM;bebidas;Gaseosa Coca-cola Sabor Original 2.25 L;$2.170;https://jumboargentinaio.vtexassets.com/arquivos/ids/783070-500-auto?v=638206690815300000&width=500&height=auto&aspect=true;12/05/2024, 23:27:23
JUM;bebidas;Gaseosa Coca-cola Sabor Original 2.25 L;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/783070-500-auto?v=638206690815300000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
JUM;bebidas;Agua Villa Del Sur Pet Sin Gas 2250 Ml;$1.100;https://jumboargentinaio.vtexassets.com/arquivos/ids/620318-500-auto?v=637466226602700000&width=500&height=auto&aspect=true;12/05/2024, 23:27:15
JUM;bebidas;Agua Villa Del Sur Pet Sin Gas 2250 Ml;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/620318-500-auto?v=637466226602700000&width=500&height=auto&aspect=true;12/05/2024, 23:28:09
