Categoria;Fecha_hora;Producto;Precio;URL de la imagen
almacen;09/05/2024, 12:46:22;Mini Tostaditas Queso Twistos x 100 g.;$ 499,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14388.jpg
almacen;09/05/2024, 12:46:22;Mayonesa Natura Doy Pack x 500 cc.;$1650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2061.jpg
almacen;09/05/2024, 12:46:22;Fideos Tallarín Fort Favorita x 500 g.;$ 1.480,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8115.jpg
almacen;09/05/2024, 12:46:22;Mini Tostaditas Jamón Ibérico Twistos x 100 g.;$ 962,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14386.jpg
almacen;09/05/2024, 12:46:22;Café Instantáneo Suave Doy Pack Dolca x 170 g.;$1.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25867.jpg
almacen;09/05/2024, 12:46:22;Aceite Girasol Legitimo x 1,5 Lt.;$ 1.150,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000019000/19263.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo de Campo La Merced x 500 g.;$670.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13152.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo 4Flex Taragui x 1 Kg.;$ 499,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000011000/11723.jpg
almacen;09/05/2024, 12:46:22;Harina Integral + Semillas Chacabuco x 750 g.;$5.700,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000018000/18425.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate en Saquitos Taragui x 50 un.;$ 5.350,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13818.jpg
almacen;09/05/2024, 12:46:22;Fideos Mostachol N 52 Matarazzo x 500 g.;$1100.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25598.jpg
almacen;09/05/2024, 12:46:22;Galletitas con Mouse Milka x 116 g.;$ 825,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000005000/5701.jpg
almacen;09/05/2024, 12:46:22;Duraznos en Trozos Best x 820 g.;$1.050,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1546.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Sabor Queso Y Cebolla Lays x 77 g.;$ 899,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24656.jpg
almacen;09/05/2024, 12:46:22;Fideos Codos Rayados Fort Favorita x 500 g.;$8600.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000008000/8119.jpg
almacen;09/05/2024, 12:46:22;Galletitas Rellenas Vainilla La Anónima x 97 g.;$ 5.260,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1208.jpg
almacen;09/05/2024, 12:46:22;Nesquik Original Cacao en Polvo x 150 g.;$ 3.945,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26078.jpg
almacen;09/05/2024, 12:46:22;Fideos Tirabuzón Lucchetti x 500 g.;$1.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25363.jpg
almacen;09/05/2024, 12:46:22;Alfajor Mini Chocolate Fantoche x 6 un. x 150 g.;$ 1.409,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3181.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/ Palo Suave Original Unión x 1 Kg.;$1.000,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14357.jpg
almacen;09/05/2024, 12:46:22;Alfajor Mini Dulce de Leche Fantoche x 6 un. x 150 g.;$ 890,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3182.jpg
almacen;09/05/2024, 12:46:22;Café Molido Intenso La Mortenita x 250 g.;$1050.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14998.jpg
almacen;09/05/2024, 12:46:22;Te en Saquitos Taragui x 25 Un.;$ 947,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000018000/18170.jpg
almacen;09/05/2024, 12:46:22;Nesquik Original Cacao en Polvo x 360 g.;$1200.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26079.jpg
almacen;09/05/2024, 12:46:22;Chocolate con Leche con Maní Cofler Block x 170 g.;$ 989,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000004000/4907.jpg
almacen;09/05/2024, 12:46:22;Pan Rallado Morixe x 1 Kg.;$1.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1598.jpg
almacen;09/05/2024, 12:46:22;Azúcar Común Tipo A La Providencia x 1 Kg.;$ 892,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24517.jpg
almacen;09/05/2024, 12:46:22;Bocadito sin Banana con Chocolate Bananita Dolca x 14 g.;$8450.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000027000/27602.jpg
almacen;09/05/2024, 12:46:22;Grisines Clásicos La Anónima x 100 g.;$ 4.930,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25609.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Cheddar Lays x 77 g.;$ 3.697,50;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24660.jpg
almacen;09/05/2024, 12:46:22;Arroz Largo Fino Bolsa Lucchetti x 500 g.;$1.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25355.jpg
almacen;09/05/2024, 12:46:22;Te Común LV Nat Intenso La Virginia x 25 un.;$ 1.409,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000015000/15395.jpg
almacen;09/05/2024, 12:46:22;Nachos Sabor Queso Doritos x 200 g.;$700.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24658.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Clásicas Lays x 330 g.;$ 499,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24662.jpg
almacen;09/05/2024, 12:46:22;Lentejas Secas Adenomar x 400 g.;$1.950,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000022000/22879.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate en Saquitos Unión x 50 un.;$ 1.490,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13820.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate c/Palo Campo Sur La Merced x 500 g.;$2450.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000013000/13156.jpg
almacen;09/05/2024, 12:46:22;Té en Saquitos Taraguí Frutos Rojos Ensobrados x 20 un.;$ 2.100,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3737.jpg
almacen;09/05/2024, 12:46:22;Yerba Mate Compuesta Verdeflor Hierbas Serranas x 500 g.;$ 1.365,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000000/410.jpg
almacen;09/05/2024, 12:46:22;Grisines con Semillas La Anónima x 100 g.;$3.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25610.jpg
almacen;09/05/2024, 12:46:22;Mini Tostaditas Jamón Ibérico Twistos x 155 g.;$ 2.960,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000014000/14387.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Clásicas Lays x 134 g.;$ 2.220,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24653.jpg
almacen;09/05/2024, 12:46:22;Fideos Spaghetti N7 Lucchetti x 500 g.;$2650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25878.jpg
almacen;09/05/2024, 12:46:22;Arroz Parboilizado Bolsa Lucchetti x 1 Kg.;$ 2.080,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25369.jpg
almacen;09/05/2024, 12:46:22;Harina Integral con Legumbres Chacabuco x 750 g.;$ 1.352,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25657.jpg
almacen;09/05/2024, 12:46:22;Papas Fritas Clásicas Lays x 85 g.;$1.500,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000024000/24651.jpg
almacen;09/05/2024, 12:46:22;Oblea Rellena Bañada con Chocolate Bon o Bon x 30 g.;$ 1.400,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2480.jpg
almacen;09/05/2024, 12:46:22;Azúcar Light Hileret x 500 g.;$1050.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1978.jpg
almacen;09/05/2024, 12:46:22;Chocolate con Leche y Maní Shot x 35 g.;$ 947,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000001000/1984.jpg
almacen;09/05/2024, 12:46:22;Grisines sabor Pizza La Anónima x 100 g.;$2650.00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000025000/25611.jpg
almacen;09/05/2024, 12:46:22;Te Común LV Nat Intenso La Virginia x 50 un.;$ 2.080,00;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000015000/15396.jpg
