Categoria;Fecha y hora;Producto;Precio;URL de la imagen
frutas-y-verduras;Almendras Peladas Sueltas X Kg;$11.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Cebolla Superior Por Kg;$1.699;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Tomate Redondo Grande Por Kg;$4.799;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$14.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Tomate Cherry Por Kg;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Pimiento Rojo Por Kg;$6.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:04
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:10
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:16
frutas-y-verduras;Banana Ecuador Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Palta Hass Elegida Unidad;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Almendras Peladas Sueltas X Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Cebolla Superior Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Tomate Redondo Grande Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Tomate Cherry Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Pimiento Rojo Por Kg;$NaN;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:21
frutas-y-verduras;Banana Ecuador Por Kg;$1.699;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Palta Hass Elegida Unidad;$799;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Almendras Peladas Sueltas X Kg;$11.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Cebolla Superior Por Kg;$1.699;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Tomate Redondo Grande Por Kg;$4.799;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;$14.999;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Tomate Cherry Por Kg;$7.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Pimiento Rojo Por Kg;$6.499;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:26
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:30
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:36
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:41
frutas-y-verduras;Banana Ecuador Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Palta Hass Elegida Unidad;;https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Almendras Peladas Sueltas X Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Cebolla Superior Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Tomate Redondo Grande Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Nueces Mariposa Sin Cascara Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Tomate Cherry Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
frutas-y-verduras;Pimiento Rojo Por Kg;;https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true;09/05/2024, 15:13:46
