Supermercado;Producto;NombreNormalizado;Precio;URL de la imagen
Carrefour;Zapallo coquena Huella Natural x kg.;Zapallo;790.0;https://carrefourar.vtexassets.com/arquivos/ids/214566-170-170?v=637679144958600000&width=170&height=170&aspect=true
Carrefour;Almendras 135 g.;Almendras;4990.0;https://carrefourar.vtexassets.com/arquivos/ids/524292-170-170?v=638518057622800000&width=170&height=170&aspect=true
Carrefour;Snack manzana roja deshidratada Frutty 18 g.;Snack;312.0;https://carrefourar.vtexassets.com/arquivos/ids/416911-170-170?v=638355809505000000&width=170&height=170&aspect=true
Carrefour;Chaucha ballina x kg.;Chaucha;520.0;https://carrefourar.vtexassets.com/arquivos/ids/201745-170-170?v=637558429741730000&width=170&height=170&aspect=true
Carrefour;Mandioca x kg;Mandioca;4999.0;https://carrefourar.vtexassets.com/arquivos/ids/184499-170-170?v=637468592663430000&width=170&height=170&aspect=true
Carrefour;Pasas de uva 170 g.;Pasas;1400.0;https://carrefourar.vtexassets.com/arquivos/ids/524293-170-170?v=638518058132570000&width=170&height=170&aspect=true
Carrefour;Chaucha rolliza x kg.;Chaucha;1890.0;https://carrefourar.vtexassets.com/arquivos/ids/184495-170-170?v=637468592657130000&width=170&height=170&aspect=true
Carrefour;Brote de soja Song 500 g.;Brote;4999.0;https://carrefourar.vtexassets.com/arquivos/ids/184534-170-170?v=637468592735330000&width=170&height=170&aspect=true
Carrefour;Maní con cascara x kg.;Maní;1399.0;https://carrefourar.vtexassets.com/arquivos/ids/177044-170-170?v=637468575274370000&width=170&height=170&aspect=true
Carrefour;Nueces peladas El mercado 300 g.;Nueces;8990.0;https://carrefourar.vtexassets.com/arquivos/ids/426562-170-170?v=638386048711330000&width=170&height=170&aspect=true
Carrefour;Castañas de cajú tostada y salada 50 g.;Castañas;1590.0;https://carrefourar.vtexassets.com/arquivos/ids/256218-170-170?v=637986100724470000&width=170&height=170&aspect=true
Carrefour;Banana chips en rodajas 75 g.;Banana;990.0;https://carrefourar.vtexassets.com/arquivos/ids/192989-170-170?v=637515950530270000&width=170&height=170&aspect=true
Carrefour;Mix de frutas secas Fincablanca 100 g.;Mix;1290.0;https://carrefourar.vtexassets.com/arquivos/ids/176913-170-170?v=637468574767070000&width=170&height=170&aspect=true
Carrefour;Lechuga mantecosa hidropónica 220 g.;Lechuga;1899.0;https://carrefourar.vtexassets.com/arquivos/ids/195467-170-170?v=637516045826630000&width=170&height=170&aspect=true
Carrefour;Castañas x kg.;Castañas;26990.0;https://carrefourar.vtexassets.com/arquivos/ids/255807-170-170?v=637983524461770000&width=170&height=170&aspect=true
Carrefour;Tomates secos 70 g.;Tomates;2229.0;https://carrefourar.vtexassets.com/arquivos/ids/194214-170-170?v=637516040982000000&width=170&height=170&aspect=true
Carrefour;Lechuga bicolor hidropónica en cono;Lechuga;2399.0;https://carrefourar.vtexassets.com/arquivos/ids/256054-170-170?v=637986090695370000&width=170&height=170&aspect=true
Carrefour;Mix de frutas secas con nuez 100 g.;Mix;1690.0;https://carrefourar.vtexassets.com/arquivos/ids/176915-170-170?v=637468574772230000&width=170&height=170&aspect=true
Carrefour;Zanahoria Rocky bolsa 200 g.;Zanahoria;1569.0;https://carrefourar.vtexassets.com/arquivos/ids/241462-170-170?v=637859923251030000&width=170&height=170&aspect=true
Carrefour;Mix saladito 300 g.;Mix;2300.0;https://carrefourar.vtexassets.com/arquivos/ids/372630-170-170?v=638303797685370000&width=170&height=170&aspect=true
Carrefour;Maní japonés x kg.;Maní;5190.0;https://carrefourar.vtexassets.com/arquivos/ids/177041-170-170?v=637468575263800000&width=170&height=170&aspect=true
Carrefour;Tomate seco 100 g.;Tomate;2500.0;https://carrefourar.vtexassets.com/arquivos/ids/177051-170-170?v=637468575298130000&width=170&height=170&aspect=true
Carrefour;Plátano x kg.;Plátano;2890.0;https://carrefourar.vtexassets.com/arquivos/ids/201749-170-170?v=637558429797130000&width=170&height=170&aspect=true
Carrefour;Zanahoria rallada Huella Natural 200 g.;Zanahoria;1699.0;https://carrefourar.vtexassets.com/arquivos/ids/266920-170-170?v=638059542383370000&width=170&height=170&aspect=true
Carrefour;Papa roja x kg.;Papa;1949.0;https://carrefourar.vtexassets.com/arquivos/ids/255844-170-170?v=637983524649270000&width=170&height=170&aspect=true
Carrefour;Ensalada soja zanahoria repollo y radicheta 250 g..;Ensalada;869.0;https://carrefourar.vtexassets.com/arquivos/ids/184537-170-170?v=637468592741300000&width=170&height=170&aspect=true
