Producto;URL
Lechuga Capuchina x kg.;https://carrefourar.vtexassets.com/arquivos/ids/184472-170-170?v=637468592611200000&width=170&height=170&aspect=true
Almendras 135 g.;https://carrefourar.vtexassets.com/arquivos/ids/524292-170-170?v=638518057622800000&width=170&height=170&aspect=true
Pasas de uva 170 g.;https://carrefourar.vtexassets.com/arquivos/ids/524293-170-170?v=638518058132570000&width=170&height=170&aspect=true
Mandioca x kg;https://carrefourar.vtexassets.com/arquivos/ids/184499-170-170?v=637468592663430000&width=170&height=170&aspect=true
Champignones y portobellos mix Porto 180 g.;https://carrefourar.vtexassets.com/arquivos/ids/184292-170-170?v=637468592281670000&width=170&height=170&aspect=true
Tomate seco 100 g.;https://carrefourar.vtexassets.com/arquivos/ids/177051-170-170?v=637468575298130000&width=170&height=170&aspect=true
Plátano x kg.;https://carrefourar.vtexassets.com/arquivos/ids/201749-170-170?v=637558429797130000&width=170&height=170&aspect=true
Pasas de uva Pasablanca 150 g.;https://carrefourar.vtexassets.com/arquivos/ids/201775-170-170?v=637558430141430000&width=170&height=170&aspect=true
Mix de lechugas Huella Natural 300 g.;https://carrefourar.vtexassets.com/arquivos/ids/266921-170-170?v=638059543496700000&width=170&height=170&aspect=true
Palta (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2403.jpg
Zapallo Anco (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000060/60.jpg
Pomelo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2405.jpg
Remolacha S/Hoja (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2386.jpg
Zapallo Criollo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3310.jpg
Repollo Blanco (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2387.jpg
Repollo Colorado (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2389.jpg
Ajo Granel (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3300.jpg
Sandía (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000060/67.jpg
Albahaca x unidad;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3315.jpg
Ajo En Bolsita (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/55.jpg
Soja (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000007000/7133.jpg
Higos Desecados Conosur x 200 g.;https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000026000/26867.jpg
Hinojo (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000003000/3305.jpg
Papa Granel (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/58.jpg
Banana Ecuador (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000002000/2393.jpg
Cebolla (Kg);https://d1on8qs0xdu5jz.cloudfront.net/web/images/productos/c/0000000050/56.jpg
