Categoria,Producto,Precio,URL de la imagen,fecha_hora
bebidas,Agua Villa Del Sur Pet Sin Gas 2250 Ml,$1.100,https://jumboargentinaio.vtexassets.com/arquivos/ids/620318-500-auto?v=637466226602700000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,"Agua Sin Gas Villavicencio 1,5 L","$904,15",https://jumboargentinaio.vtexassets.com/arquivos/ids/795825-500-auto?v=638313501958270000&width=500&height=auto&aspect=true,"09/05/2024, 14:52:10"
bebidas,Agua Villavicencio Con Gas 1.5lt,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/795829-500-auto?v=638313501977570000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,Agua Glaciar Sin Gas Botella 2ltx1,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/544753-500-auto?v=637014360454900000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,"Coca-cola Sabor Liviano 1,75 Lt",$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/799928-500-auto?v=638349573934800000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
bebidas,Cerveza Schneider Lager Rubia 710cc,$NaN,https://jumboargentinaio.vtexassets.com/arquivos/ids/579451-500-auto?v=637215672686300000&width=500&height=auto&aspect=true,"09/05/2024, 14:57:14"
hogar-y-textil,Reposera Metal Curva Cañoblanc Textbeige Outze,,https://jumboargentinaio.vtexassets.com/arquivos/ids/670280-500-auto?v=637692179138800000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Pergola Hierro Outzen 3x3 M,,https://jumboargentinaio.vtexassets.com/arquivos/ids/670226-500-auto?v=637692178972830000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Almohada Suavestar Viscoelastica Clasica 62x40,,https://jumboargentinaio.vtexassets.com/arquivos/ids/812728-500-auto?v=638440521608670000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Film Adherente Home Care 20 Mts X 28 Cm,,https://jumboargentinaio.vtexassets.com/arquivos/ids/676790-500-auto?v=637728576070130000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Alta Acero Sannet - Azul.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/548192-500-auto?v=637043732671170000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Mor Alta Acero Vs Colores Rayas 2002,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809160-500-auto?v=638435433714900000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Caja Organizadora 20lt Transparente  Pv23krea,,https://jumboargentinaio.vtexassets.com/arquivos/ids/718863-500-auto?v=637985939635400000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
hogar-y-textil,Silla Reclinable 8 Pos. Acero Sannet - B.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/548545-500-auto?v=637045032556400000&width=500&height=auto&aspect=true,"09/05/2024, 15:02:04"
frutas-y-verduras,Banana Ecuador Por Kg,$1.699,https://jumboargentinaio.vtexassets.com/arquivos/ids/790316-500-auto?v=638272137671900000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Palta Hass Elegida Unidad,$799,https://jumboargentinaio.vtexassets.com/arquivos/ids/763476-500-auto?v=638080005645570000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Almendras Peladas Sueltas X Kg,$11.999,https://jumboargentinaio.vtexassets.com/arquivos/ids/773178-500-auto?v=638138865872070000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Cebolla Superior Por Kg,$1.699,https://jumboargentinaio.vtexassets.com/arquivos/ids/698610-500-auto?v=637871997724330000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Tomate Redondo Grande Por Kg,$4.799,https://jumboargentinaio.vtexassets.com/arquivos/ids/339429-500-auto?v=636393043636870000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Nueces Mariposa Sin Cascara Por Kg,$14.999,https://jumboargentinaio.vtexassets.com/arquivos/ids/773176-500-auto?v=638138865867030000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Tomate Cherry Por Kg,$7.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/472988-500-auto?v=636695568779700000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
frutas-y-verduras,Pimiento Rojo Por Kg,$6.499,https://jumboargentinaio.vtexassets.com/arquivos/ids/339349-500-auto?v=636393041930400000&width=500&height=auto&aspect=true,"09/05/2024, 15:12:48"
Quesos y Fiambres,Queso Cremoso La Paulina 1/4 Hma - Mínimo 1 Kg Mayorista.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/594326-500-auto?v=637305532902770000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Jamon Cocido Tripack Kg 1 Sob Minimo 800 Gr Mayorista,,https://jumboargentinaio.vtexassets.com/arquivos/ids/516235-500-auto?v=636840692090400000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Cremón Cremoso,,https://jumboargentinaio.vtexassets.com/arquivos/ids/782005-500-auto?v=638201073860900000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Jamon Cocido Cuisine & Co,,https://jumboargentinaio.vtexassets.com/arquivos/ids/807030-500-auto?v=638406058229170000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Clasico Casancrem 480g,,https://jumboargentinaio.vtexassets.com/arquivos/ids/792158-500-auto?v=638294386229570000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Barra Danbo Cuisine&co,,https://jumboargentinaio.vtexassets.com/arquivos/ids/807032-500-auto?v=638406058246670000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Parmesano La Paulina X Kg.,,https://jumboargentinaio.vtexassets.com/arquivos/ids/596261-500-auto?v=637315026086830000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Quesos y Fiambres,Queso Barra Jumbo Tripack,,https://jumboargentinaio.vtexassets.com/arquivos/ids/464961-500-auto?v=636659280124300000&width=500&height=auto&aspect=true,"09/05/2024, 15:15:18"
Lacteos,Leche La Serenisima Zerolact Bot 1l,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/797316-500-auto?v=638332509824430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Liviana Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797315-500-auto?v=638332509819430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Manteca Ls Bienestar Animal 200 G,"$2.680,89",https://jumboargentinaio.vtexassets.com/arquivos/ids/793456-500-auto?v=638303241666030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenisima 1 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785290-500-auto?v=638223762282570000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche La Serenisima Entera Bot 1l,"$1.801,88",https://jumboargentinaio.vtexassets.com/arquivos/ids/797314-500-auto?v=638332509815370000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat Serenisima 3 - 1 Lt,"$1.717,85",https://jumboargentinaio.vtexassets.com/arquivos/ids/785291-500-auto?v=638223762290430000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Leche Uat La Serenísima Proteina 1lt,"$1.841,74",https://jumboargentinaio.vtexassets.com/arquivos/ids/637500-500-auto?v=637540537556030000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
Lacteos,Dulce De Leche La Serenisima Clasico 400g,"$2.226,44",https://jumboargentinaio.vtexassets.com/arquivos/ids/787501-500-auto?v=638242545910500000&width=500&height=auto&aspect=true,"09/05/2024, 15:31:54"
perfumeria,Jabon Dove Original 90g,,https://jumboargentinaio.vtexassets.com/arquivos/ids/806743-500-auto?v=638403359110070000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Pasta Dental Sensitive Pro-alivio Real White 110 G,,https://jumboargentinaio.vtexassets.com/arquivos/ids/776731-500-auto?v=638170726221900000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Desodorante Dove Original Antitranspirante 150 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/793027-500-auto?v=638300434858670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Shampoo Dove Reconstrucción 400 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/783652-500-auto?v=638214470977270000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Pasta Dental Colgate Sensitive Pro Alivio Inmediato Original 140 G,,https://jumboargentinaio.vtexassets.com/arquivos/ids/776748-500-auto?v=638170726280670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Acondicionador Dove Reconstrucción Completa 400 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/781237-500-auto?v=638193299692670000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Shampoo Dove Ritual De Reparación Coco 750 Ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/781240-500-auto?v=638193299701000000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
perfumeria,Desodorante Dove Invisible Dry 150ml,,https://jumboargentinaio.vtexassets.com/arquivos/ids/793036-500-auto?v=638300434891270000&width=500&height=auto&aspect=true,"09/05/2024, 15:33:39"
